"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.38299999,,
"JPN","Japan","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.38999999,,
"KOR","Korea","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.45100001,,
"KOR","Korea","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.45500001,,
"KOR","Korea","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.42899999,,
"KOR","Korea","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.442,,
"LUX","Luxembourg","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.40799999,,
"LUX","Luxembourg","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.414,,
"LUX","Luxembourg","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.414,,
"LUX","Luxembourg","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.414,,
"MEX","Mexico","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.34900001,,
"MEX","Mexico","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.36000001,,
"MEX","Mexico","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.36300001,,
"MEX","Mexico","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.368,,
"NLD","Netherlands","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.47299999,,
"NLD","Netherlands","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.47299999,,
"NLD","Netherlands","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.47400001,,
"NLD","Netherlands","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.47400001,,
"NZL","New Zealand","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.588,,
"NZL","New Zealand","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.588,,
"NZL","New Zealand","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.59899998,,
"NZL","New Zealand","MEDIAN","Median","2013","2013","RATIO","Ratio","0","units",,,0.59500003,,
"POL","Poland","MEDIAN","Median","2010","2010","RATIO","Ratio","0","units",,,0.45300001,,
"POL","Poland","MEDIAN","Median","2011","2011","RATIO","Ratio","0","units",,,0.45199999,,
"POL","Poland","MEDIAN","Median","2012","2012","RATIO","Ratio","0","units",,,0.48199999,,
